customer_id,merchant_id,customer_name,city,created_at,email_domain,contact_present,city_tier
CUS0000001,M000001,Chetan Dua,Lucknow,2024-09-24,gmail.com,1,2
CUS0000002,M000001,Bhuvan Varma,Siliguri,2024-08-04,gmail.com,0,3
CUS0000003,M000001,Isha Kapoor,Jalandhar,2024-03-28,gmail.com,1,3
CUS0000004,M000001,Sanjay Pandya,Erode,2024-03-24,corporate.com,0,3
CUS0000005,M000001,Yatin Dua,Jalandhar,2024-09-19,gmail.com,1,3
CUS0000006,M000001,Bhakti Pandya,Chandigarh,2024-08-20,gmail.com,0,2
CUS0000007,M000001,Dev Jindal,Chennai,2024-08-11,gmail.com,1,1
CUS0000008,M000001,Bhaskar Yadav,Erode,2024-01-19,gmail.com,1,3
CUS0000009,M000001,Divya Krishnan,Vadodara,2024-08-06,gmail.com,1,2
CUS0000010,M000001,Aishwarya Brar,Warangal,2024-12-24,yahoo.com,1,3
CUS0000011,M000001,Sumin Rao,Delhi,2024-01-07,yahoo.com,0,1
CUS0000012,M000001,Rohit Bhasin,Jalandhar,2024-06-20,gmail.com,0,3
CUS0000013,M000001,Radha Khatri,Indore,2024-06-29,outlook.com,1,2
CUS0000014,M000001,Bharti Ghanshyam,Coimbatore,2024-11-23,gmail.com,1,2
CUS0000015,M000001,Krishna Joshi,Warangal,2024-04-13,gmail.com,1,3
CUS0000016,M000001,Divya Bajaj,Kolhapur,2024-06-22,gmail.com,1,3
CUS0000017,M000001,Ajay Gaekwad,Bhavnagar,2024-09-18,outlook.com,0,3
CUS0000018,M000001,Mukesh Bhasin,Pune,2024-01-23,gmail.com,1,1
CUS0000019,M000001,Advait Gaekwad,Lucknow,2024-10-19,corporate.com,0,2
CUS0000020,M000001,Nalini Bedi,Chennai,2024-10-27,gmail.com,0,1
CUS0000021,M000001,Anand Roy,Warangal,2024-09-19,yahoo.com,1,3
CUS0000022,M000001,Simran Verma,Mumbai,2024-08-24,gmail.com,0,1
CUS0000023,M000001,Neeru Deshmukh,Surat,2024-09-29,corporate.com,1,2
CUS0000024,M000001,Yamuna Mishra,Kolkata,2024-10-12,yahoo.com,0,1
CUS0000025,M000001,Gauri Chakraborty,Indore,2024-11-25,gmail.com,0,2
CUS0000026,M000001,Tejas Mukherjee,Kolhapur,2024-06-05,gmail.com,1,3
CUS0000027,M000001,Aniket Narang,Bhavnagar,2024-06-15,yahoo.com,1,3
CUS0000028,M000001,Abhinav Saxena,Surat,2024-08-20,gmail.com,0,2
CUS0000029,M000001,Satish Gupta,Warangal,2024-03-11,gmail.com,0,3
CUS0000030,M000001,Sujata Gupta,Nagpur,2024-11-08,gmail.com,1,2
CUS0000031,M000001,Geeta Suri,Coimbatore,2024-10-08,yahoo.com,0,2
CUS0000032,M000001,Nidhi Saini,Chennai,2024-08-18,gmail.com,1,1
CUS0000033,M000001,Garima Kurup,Hyderabad,2024-04-20,gmail.com,1,1
CUS0000034,M000001,Sangeeta Vashisht,Chandigarh,2024-05-06,yahoo.com,0,2
CUS0000035,M000001,Parth Grover,Chennai,2024-06-07,gmail.com,1,1
CUS0000036,M000001,Shubham Chakraborty,Mysuru,2024-08-29,yahoo.com,1,2
CUS0000037,M000001,Hemant Grover,Chandigarh,2024-10-10,gmail.com,1,2
CUS0000038,M000001,Madhuri Sharma,Tirupati,2024-09-02,yahoo.com,1,3
CUS0000039,M000001,Sunita Jain,Mysuru,2024-12-05,outlook.com,1,2
CUS0000040,M000001,Riya Mittal,Chennai,2024-12-16,outlook.com,1,1
CUS0000041,M000001,Lavanya Acharya,Guntur,2024-09-14,outlook.com,1,3
CUS0000042,M000001,Tejas Nanda,Bengaluru,2024-05-15,gmail.com,1,1
CUS0000043,M000001,Rohit Agarwal,Jalandhar,2024-08-06,corporate.com,0,3
CUS0000044,M000001,Shailesh Shukla,Chandigarh,2024-06-04,outlook.com,1,2
CUS0000045,M000001,Vikram Chavan,Kochi,2024-08-17,outlook.com,1,2
CUS0000046,M000001,Subhash Dua,Bhavnagar,2024-10-23,gmail.com,1,3
CUS0000047,M000001,Indu Juneja,Nagpur,2024-05-14,yahoo.com,1,2
CUS0000048,M000001,Garima Mukherjee,Siliguri,2024-07-03,corporate.com,1,3
CUS0000049,M000001,Riya Bedi,Guntur,2024-01-17,corporate.com,0,3
CUS0000050,M000001,Yamuna Venkatesan,Coimbatore,2024-09-25,gmail.com,0,2
CUS0000051,M000001,Ishita Prabhu,Mumbai,2024-06-27,outlook.com,0,1
CUS0000052,M000001,Savita Kaushik,Siliguri,2024-06-16,yahoo.com,1,3
CUS0000053,M000001,Chandran Iyer,Visakhapatnam,2024-07-13,gmail.com,1,2
CUS0000054,M000001,Bhakti Gill,Warangal,2024-03-19,corporate.com,1,3
CUS0000055,M000001,Sneha Saxena,Nagpur,2024-08-06,gmail.com,1,2
CUS0000056,M000001,Tejas Roy,Chennai,2024-09-28,gmail.com,1,1
CUS0000057,M000001,Kabir Chatterjee,Bhopal,2024-05-07,outlook.com,0,2
CUS0000058,M000001,Satish Iyengar,Chandigarh,2024-02-17,outlook.com,0,2
CUS0000059,M000001,Shivam Tripathi,Kolkata,2024-05-21,gmail.com,1,1
CUS0000060,M000001,Garima Gill,Hyderabad,2024-03-13,outlook.com,0,1
CUS0000061,M000001,Pallavi Rajput,Kolkata,2024-05-16,gmail.com,0,1
CUS0000062,M000001,Aryan Ranganathan,Tirupati,2024-08-16,yahoo.com,0,3
CUS0000063,M000001,Rishabh Dhillon,Mumbai,2024-02-11,gmail.com,1,1
CUS0000064,M000001,Sakshi Sen,Coimbatore,2024-09-29,yahoo.com,0,2
CUS0000065,M000001,Ritu Khanna,Delhi,2024-03-22,gmail.com,0,1
